DATE,FLIGHTCOUNT
1577833200000,12203
1577919600000,13627
1578006000000,13708
1578092400000,11832
1578178800000,13657
1578265200000,13903
1578351600000,12889
1578438000000,13177
1578524400000,13839
1578610800000,13490
1578697200000,9935
1578783600000,13092
1578870000000,13664
1578956400000,12878
1579042800000,13192
1579129200000,13766
1579215600000,13110
1579302000000,9980
1579388400000,11998
1579474800000,13502
1579561200000,12890
1579647600000,13142
1579734000000,13734
1579820400000,13660
1579906800000,10335
1579993200000,13149
1580079600000,13631
1580166000000,12958
1580252400000,13172
1580338800000,13816
1580425200000,13860
1580511600000,10310
1580598000000,12438
1580684400000,13781
1580770800000,12948
1580857200000,13065
1580943600000,13582
1581030000000,13636
1581116400000,10421
1581202800000,12882
1581289200000,13723
1581375600000,12944
1581462000000,13212
1581548400000,13942
1581634800000,14086
1581721200000,10861
1581807600000,12433
1581894000000,13916
1581980400000,13709
1582066800000,13715
1582153200000,13994
1582239600000,14048
1582326000000,11129
1582412400000,13421
1582498800000,13993
1582585200000,13596
1582671600000,13705
1582758000000,14007
1582844400000,14106
1582930800000,11050
1583017200000,13433
1583103600000,14081
1583190000000,13652
1583276400000,13743
1583362800000,14172
1583449200000,14252
1583535600000,11786
1583622000000,13719
1583708400000,14299
1583794800000,13901
1583881200000,13915
1583967600000,14571
1584054000000,14426
1584140400000,12059
1584226800000,13784
1584313200000,14223
1584399600000,13247
1584486000000,12498
1584572400000,11575
1584658800000,11262
1584745200000,9225
1584831600000,9501
1584918000000,8602
1585004400000,8277
1585090800000,7836
1585177200000,7490
1585263600000,6818
1585350000000,6251
1585436400000,6743
1585519200000,6244
1585605600000,6072
1585692000000,5944
1585778400000,5398
1585864800000,5746
1585951200000,4891
1586037600000,5374
1586124000000,5218
1586210400000,4598
1586296800000,4520
1586383200000,4682
1586469600000,4605
1586556000000,3946
1586642400000,4151
1586728800000,4324
1586815200000,3829
1586901600000,3666
1586988000000,3471
1587074400000,3504
1587160800000,3154
1587247200000,3261
1587333600000,3283
1587420000000,3158
1587506400000,3172
1587592800000,3358
1587679200000,3354
1587765600000,2907
1587852000000,3254
1587938400000,3265
1588024800000,3186
1588111200000,3200
1588197600000,3390
1588284000000,3713
1588370400000,2947
1588456800000,3626
1588543200000,3627
1588629600000,3111
1588716000000,3215
1588802400000,3490
1588888800000,3602
1588975200000,3068
1589061600000,3480
1589148000000,3537
1589234400000,3111
1589320800000,3381
1589407200000,3559
1589493600000,3663
1589580000000,3083
1589666400000,3539
1589752800000,3647
1589839200000,3131
1589925600000,3508
1590012000000,3840
1590098400000,3920
1590184800000,3263
1590271200000,3695
1590357600000,3810
1590444000000,3290
1590530400000,3572
1590616800000,3797
1590703200000,3830
1590789600000,3269
1590876000000,3891
1590962400000,3948
1591048800000,3533
1591135200000,3880
1591221600000,4382
1591308000000,4537
1591394400000,4028
1591480800000,4882
1591567200000,4986
1591653600000,4530
1591740000000,4680
1591826400000,5237
1591912800000,5270
1591999200000,4684
1592085600000,5364
1592172000000,5368
1592258400000,4812
1592344800000,4858
1592431200000,5483
1592517600000,5474
1592604000000,4945
1592690400000,5549
1592776800000,5796
1592863200000,5176
1592949600000,5212
1593036000000,5858
1593122400000,5857
1593208800000,5266
1593295200000,5871
1593381600000,5977
1593468000000,5463
1593554400000,3494
1593640800000,4052
1593727200000,3972
1593813600000,3117
1593900000000,3950
1593986400000,4266
1594072800000,4006
1594159200000,4061
1594245600000,4344
1594332000000,4335
1594418400000,3958
1594504800000,4300
1594591200000,4344
1594677600000,3828
1594764000000,3880
1594850400000,4321
1594936800000,4400
1595023200000,3980
1595109600000,4290
1595196000000,4361
1595282400000,3812
1595368800000,3839
1595455200000,4371
1595541600000,4355
1595628000000,3940
1595714400000,4222
1595800800000,4269
1595887200000,3716
1595973600000,3766
1596060000000,4216
1596146400000,4286
1596232800000,4015
1596319200000,4410
1596405600000,4518
1596492000000,3693
1596578400000,3840
1596664800000,4460
1596751200000,4477
1596837600000,4017
1596924000000,4427
1597010400000,4436
1597096800000,3861
1597183200000,3947
1597269600000,4527
1597356000000,4506
1597442400000,4123
1597528800000,4502
1597615200000,4457
1597701600000,3848
1597788000000,3869
1597874400000,4545
1597960800000,4488
1598047200000,4115
1598133600000,4505
1598220000000,4437
1598306400000,3864
1598392800000,3723
1598479200000,4476
1598565600000,4469
1598652000000,4096
1598738400000,4529
1598824800000,4434
