,DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
111,1589234400000,Colorado,1006,20,3.421417732865968e-06
112,1589320800000,Colorado,1059,53,9.066756992094814e-06
113,1589407200000,Colorado,1090,31,5.30319748594225e-06
114,1589493600000,Colorado,1150,60,1.0264253198597904e-05
115,1589580000000,Colorado,1192,42,7.184977239018532e-06
116,1589666400000,Colorado,1215,23,3.9346303927958625e-06
117,1589752800000,Colorado,1224,9,1.5396379797896855e-06
118,1589839200000,Colorado,1257,33,5.6453392592288465e-06
119,1589925600000,Colorado,1299,42,7.184977239018532e-06
120,1590012000000,Colorado,1309,10,1.710708866432984e-06
121,1590098400000,Colorado,1323,14,2.3949924130061773e-06
122,1590184800000,Colorado,1327,4,6.842835465731935e-07
123,1590271200000,Colorado,1330,3,5.132126599298952e-07
124,1590357600000,Colorado,1331,1,1.7107088664329838e-07
125,1590444000000,Colorado,1350,19,3.2503468462226692e-06
126,1590530400000,Colorado,1392,42,7.184977239018532e-06
127,1590616800000,Colorado,1421,29,4.961055712655653e-06
128,1590703200000,Colorado,1436,15,2.566063299649476e-06
129,1590789600000,Colorado,1443,7,1.1974962065030886e-06
130,1590876000000,Colorado,1445,2,3.4214177328659677e-07
131,1590962400000,Colorado,1458,13,2.223921526362879e-06
132,1591048800000,Colorado,1474,16,2.737134186292774e-06
133,1591135200000,Colorado,1494,20,3.421417732865968e-06
134,1591221600000,Colorado,1512,18,3.079275959579371e-06
135,1591308000000,Colorado,1524,12,2.052850639719581e-06
136,1591394400000,Colorado,1527,3,5.132126599298952e-07
137,1591480800000,Colorado,1527,0,0.0
138,1591567200000,Colorado,1543,16,2.737134186292774e-06
139,1591653600000,Colorado,1553,10,1.710708866432984e-06
140,1591740000000,Colorado,1573,20,3.421417732865968e-06
141,1591826400000,Colorado,1583,10,1.710708866432984e-06
142,1591912800000,Colorado,1595,12,2.052850639719581e-06
143,1591999200000,Colorado,1598,3,5.132126599298952e-07
144,1592085600000,Colorado,1599,1,1.7107088664329838e-07
145,1592172000000,Colorado,1605,6,1.0264253198597904e-06
146,1592258400000,Colorado,1617,12,2.052850639719581e-06
147,1592344800000,Colorado,1631,14,2.3949924130061773e-06
148,1592431200000,Colorado,1638,7,1.1974962065030886e-06
149,1592517600000,Colorado,1643,5,8.55354433216492e-07
150,1592604000000,Colorado,1647,4,6.842835465731935e-07
151,1592690400000,Colorado,1647,0,0.0
152,1592776800000,Colorado,1651,4,6.842835465731935e-07
153,1592863200000,Colorado,1665,14,2.3949924130061773e-06
154,1592949600000,Colorado,1667,2,3.4214177328659677e-07
155,1593036000000,Colorado,1669,2,3.4214177328659677e-07
156,1593122400000,Colorado,1673,4,6.842835465731935e-07
157,1593208800000,Colorado,1674,1,1.7107088664329838e-07
158,1593295200000,Colorado,1676,2,3.4214177328659677e-07
159,1593381600000,Colorado,1682,6,1.0264253198597904e-06
160,1593468000000,Colorado,1690,8,1.368567093146387e-06
161,1593554400000,Colorado,1697,7,1.1974962065030886e-06
162,1593640800000,Colorado,1701,4,6.842835465731935e-07
163,1593727200000,Colorado,1701,0,0.0
164,1593813600000,Colorado,1701,0,0.0
165,1593900000000,Colorado,1701,0,0.0
166,1593986400000,Colorado,1691,-10,-1.710708866432984e-06
167,1594072800000,Colorado,1696,5,8.55354433216492e-07
168,1594159200000,Colorado,1704,8,1.368567093146387e-06
169,1594245600000,Colorado,1706,2,3.4214177328659677e-07
170,1594332000000,Colorado,1724,18,3.079275959579371e-06
171,1594418400000,Colorado,1725,1,1.7107088664329838e-07
172,1594504800000,Colorado,1725,0,0.0
173,1594591200000,Colorado,1727,2,3.4214177328659677e-07
174,1594677600000,Colorado,1738,11,1.8817797530762822e-06
175,1594764000000,Colorado,1744,6,1.0264253198597904e-06
176,1594850400000,Colorado,1745,1,1.7107088664329838e-07
177,1594936800000,Colorado,1751,6,1.0264253198597904e-06
178,1595023200000,Colorado,1752,1,1.7107088664329838e-07
179,1595109600000,Colorado,1752,0,0.0
180,1595196000000,Colorado,1758,6,1.0264253198597904e-06
181,1595282400000,Colorado,1763,5,8.55354433216492e-07
182,1595368800000,Colorado,1771,8,1.368567093146387e-06
183,1595455200000,Colorado,1786,15,2.566063299649476e-06
184,1595541600000,Colorado,1790,4,6.842835465731935e-07
185,1595628000000,Colorado,1794,4,6.842835465731935e-07
186,1595714400000,Colorado,1794,0,0.0
187,1595800800000,Colorado,1799,5,8.55354433216492e-07
188,1595887200000,Colorado,1807,8,1.368567093146387e-06
189,1595973600000,Colorado,1822,15,2.566063299649476e-06
190,1596060000000,Colorado,1822,0,0.0
191,1596146400000,Colorado,1838,16,2.737134186292774e-06
192,1596232800000,Colorado,1844,6,1.0264253198597904e-06
193,1596319200000,Colorado,1844,0,0.0
194,1596405600000,Colorado,1844,0,0.0
195,1596492000000,Colorado,1849,5,8.55354433216492e-07
196,1596578400000,Colorado,1851,2,3.4214177328659677e-07
197,1596664800000,Colorado,1852,1,1.7107088664329838e-07
198,1596751200000,Colorado,1857,5,8.55354433216492e-07
199,1596837600000,Colorado,1857,0,0.0
200,1596924000000,Colorado,1858,1,1.7107088664329838e-07
201,1597010400000,Colorado,1863,5,8.55354433216492e-07
202,1597096800000,Colorado,1875,12,2.052850639719581e-06
203,1597183200000,Colorado,1875,0,0.0
204,1597269600000,Colorado,1882,7,1.1974962065030886e-06
205,1597356000000,Colorado,1888,6,1.0264253198597904e-06
206,1597442400000,Colorado,1896,8,1.368567093146387e-06
207,1597528800000,Colorado,1896,0,0.0
208,1597615200000,Colorado,1896,0,0.0
209,1597701600000,Colorado,1899,3,5.132126599298952e-07
210,1597788000000,Colorado,1900,1,1.7107088664329838e-07
211,1597874400000,Colorado,1903,3,5.132126599298952e-07
212,1597960800000,Colorado,1910,7,1.1974962065030886e-06
213,1598047200000,Colorado,1918,8,1.368567093146387e-06
214,1598133600000,Colorado,1918,0,0.0
215,1598220000000,Colorado,1919,1,1.7107088664329838e-07
216,1598306400000,Colorado,1926,7,1.1974962065030886e-06
217,1598392800000,Colorado,1927,1,1.7107088664329838e-07
218,1598479200000,Colorado,1931,4,6.842835465731935e-07
219,1598565600000,Colorado,1937,6,1.0264253198597904e-06
220,1598652000000,Colorado,1944,7,1.1974962065030886e-06
221,1598738400000,Colorado,1944,0,0.0
222,1598824800000,Colorado,1945,1,1.7107088664329838e-07
223,1598911200000,Colorado,1946,1,1.7107088664329838e-07
224,1598997600000,Colorado,1952,6,1.0264253198597904e-06
225,1599084000000,Colorado,1955,3,5.132126599298952e-07
226,1599170400000,Colorado,1966,11,1.8817797530762822e-06
227,1599256800000,Colorado,1971,5,8.55354433216492e-07
228,1599343200000,Colorado,1972,1,1.7107088664329838e-07
229,1599429600000,Colorado,1973,1,1.7107088664329838e-07
230,1599516000000,Colorado,1973,0,0.0
231,1599602400000,Colorado,1977,4,6.842835465731935e-07
232,1599688800000,Colorado,1979,2,3.4214177328659677e-07
233,1599775200000,Colorado,1985,6,1.0264253198597904e-06
234,1599861600000,Colorado,1988,3,5.132126599298952e-07
235,1599948000000,Colorado,1988,0,0.0
236,1600034400000,Colorado,1990,2,3.4214177328659677e-07
237,1600120800000,Colorado,1996,6,1.0264253198597904e-06
238,1600207200000,Colorado,2002,6,1.0264253198597904e-06
239,1600293600000,Colorado,2006,4,6.842835465731935e-07
240,1600380000000,Colorado,2009,3,5.132126599298952e-07
241,1600466400000,Colorado,2013,4,6.842835465731935e-07
242,1600552800000,Colorado,2014,1,1.7107088664329838e-07
243,1600639200000,Colorado,2018,4,6.842835465731935e-07
244,1600725600000,Colorado,2025,7,1.1974962065030886e-06
245,1600812000000,Colorado,2030,5,8.55354433216492e-07
246,1600898400000,Colorado,2033,3,5.132126599298952e-07
